Model,Option_Code,Option_Desc,Material_Cost
X351,Z30C,PACK 3 - PREMIUM REAR SEAT PACKAGE WITH DUAL VIEW,4563.59
X351,Z30B,PACK 2 - PREMIUM REAR SEAT PACKAGE,2844.65
X351,G51E,"REAR SEAT ENTERTAINMENT SYSTEM WITH 2 FOLDING 10.2"" HD SCREENS",2408.46
X152,Z94I,SVR Carbon Fibre Exterior Pack,2259.43
L405,033TM,Semi-Aniline leather Rear Executive Class seat Style 25,2231.03
L405,129AQ,"10"" Rear Seat Entertainment",2167.48
L405,033TU,Poltrona Frau leather Rear Executive Class seat Style 30,2039.39
L405,033SV,Semi-Aniline leather Rear Executive Class seat Style 20,2013.06
X761,D70E,"10"" Touch Pro Dual View",1819.65
L405,033TN,Semi-Aniline leather Rear Executive Class seat Style 26,1728.58
L494,074QC,On / Off Road Pack (P2) - SDV6 only,1544.94
L405,129AH,Rear Seat Entertainment,1470.57
L405,033SP,Semi-Aniline leather Rear Executive Class seat Style 21,1431.82
X760,D70E,"10"" Touch Pro Dual View",1420.19
X260,D70E,"10"" Touch Pro Dual View",1345.09
X152,B09M,Deployable boot lid spoiler,1174.02
X761,C54L,"22"" 15 spoke 'Style 1020' with Gloss Black finish and Satin Black inserts",1142.88
X761,C54P,"22"" 15 spoke 'Style 1020' with Grey finish and Contrast inserts",1111.13
X761,C54K,"22"" 15 spoke 'Style 1020' with Contrast Inserts",1094.97
X760,Z58Y,INCONTROL TOUCH PRO NAVIGATION PACK WITH MERIDIAN SOUND SYSTEM,1094.1
X760,B71F,Satin Chrome Touchscreen surround,1092.83
X351,Z30A,PACK 1 - REAR SEAT PACKAGE,1091.15
X152,C51M,"20"" 5 spoke 'Style 5042' with Carbon Fibre and Satin Dark Grey Diamond Turned finish",1089.94
X761,Z59X,INCONTROL TOUCH PRO NAVIGATION PACK WITH MERIDIAN SOUND SYSTEM,1052.59
X761,Z59Y,INCONTROL TOUCH PRO NAVIGATION PACK WITH MERIDIAN SURROUND SOUND,1042.58
X761,Z04B,PREMIUM BUSINESS PACK,993.04
L405,033TL,Semi-Aniline leather seat Style 24,920.86
X761,C54M,"22"" 9 spoke 'Style 9006' with Grey Diamond Turned finish",913.67
X760,Z59I,INCONTROL TOUCH PRO NAVIGATION PACK WITH MERIDIAN SURROUND SOUND SYSTEM,884.74
L405,029SG,"22"" 7 split-spoke 'Style 707' with Diamond Turned finish",865.07
L494,033TR,"Style 7 - 20 way  / 20 way Powered Seats with Memory, Front Seat Articulation and Massage",825.55
L494,087AS,Dual View Touchscreen,822.61
L405,029SH,"22"" 6 spoke 'Style 601' with Diamond Turned finish",815.8
X351,C46B,"20"" MAROA",749.96
L494,017EO,Pack 39 (P39) - Comfort and Convenience Pack,746.17
L405,029TP,"22"" 7 split-spoke 'Style 707' with Gloss Black finish",740.92
X152,F45B,Carbon Fibre roof,707.47
X152,Z23C,EXTENDED LEATHER PACK,674.08
X152,F53F,Heated and cooled front seats,651.36
X351,G73C,REAR BUSINESS TABLES,647.93
L494,029SW,"21"" 5 split-spoke 'Style 505'",641
X351,S58B,CARBON FIBRE ENGINE COVER,620
X760,C05B,Electrically deployable tow bar,596.59
L405,074VY,Pack 26 (P26) - Drive Pro Pack,574.87
X761,Z16W,MEMORY PACK FOR 20-WAY LUXURY SEATS,568.37
L405,033SG,Semi-Aniline leather seat Style 19,564
X260,C05B,Electrically Deployable Tow Bar,552.06
L494,028EJ,Electrically Deployable Tow Bar,549.53
X152,HNAA,Ivory headlining,547.2
X760,Z68U,ADVANCED PARKING ASSIST PACK WITH SURROUND CAMERA,533.99
X761,Z13A,HEAD-UP DISPLAY PACK,527.96
X760,Z13A,HEAD-UP DISPLAY PACK,527.52
X152,TP22,SUEDECLOTH INTERIOR PACK,510.99
L494,039IB,Head-Up Display,509.24
X351,D70A,"DUAL VIEW 8"" TOUCH SCREEN DISPLAY",507.45
L405,088FE,Leather Headlining,505.35
X760,Z76C,ACTIVE SAFETY PACK,484.2
X761,Z16Y,MEMORY PACK FOR 18-WAY SPORT SEATS,476.33
X760,1BD,Caldera Red,474.69
X260,Z13A,Head-Up Display Pack,470.07
X351,B43X,MERIDIAN REFERENCE DIGITAL SOUND SYSTEM (1300W) WITH CONVERSATION ASSIST,466.57
X152,Z88L,CLIMATE PACK 2,466.35
L405,028EJ,Electrically Deployable tow bar,454.21
X152,Z94K,Carbon Fibre Exterior Pack,450.24
L494,041CZ,Sliding Panoramic Roof,449.09
X761,Z68Y,ADVANCED PARKING ASSIST PACK WITH SURROUND CAMERA,448.95
X152,HCHX,Pimento headlining,434.4
X761,C05B,Electrically deployable tow bar,430.39
X761,H10F,Timed Climate with Remote,428.62
X760,Z80S,ROAD TECHNOLOGY PACK,423.21
L405,033SF,Oxford leather seat Style 15,421.12
X761,Z02M,20-way electric front luxury seats with memory,418.22
X760,C35A,Adaptive Dynamics,411.77
L405,087AS,Dual View Touchscreen,410.38
X761,C14D,Surround Camera System,409.45
X260,C35A,Adaptive Dynamics,398.73
X761,F45C,Sliding panoramic roof,389.18
L405,041CZ,Sliding Panoramic roof,388.41
L405,022BL,4-Zone climate control,384.89
X260,B69C,Powered Gesture Tailgate / Boot Lid,380.32
X760,C05C,Detachable tow bar,378.7
X260,H41F,Adaptive Cruise Control with Queue Assist and High-Speed Emergency Braking,378.66
L494,074VY,Pack 41 (P41) - ADAS Level 2 - Drive Pro Pack,375.2
X760,F45C,Sliding panoramic roof,374.29
L405,033TJ,Semi-Aniline leather seat Style 22,368.46
X260,C53J,"20"" 9 Split-Spoke 'Style 9004' with Contrast Diamond Turned Finish",367.67
L494,022BG,4-Zone climate control,365.52
X260,Z12A,Rear Comfort Pack,365.33
X260,C53F,"20"" 5 Split-Spoke 'Style 5031' with Gloss Dark Grey Diamond Turned Finish",360.15
X351,C45E,"19"" TOBA POLISHED",358.45
L494,025LV,Meridian™ Digital Reference Sound System,357.28
L405,062CE,Advanced Tow Assist,351.75
L405,027DB,Active Rear Locking Differential,348.22
X260,H10F,Timed Climate with Remote,344.11
X761,Z87A,PRACTICALITY PACK,342.61
L405,039IB,Head-Up Display,341.67
L494,065AG,Adaptive Cruise Control (ACC) incl Queue Assist & Intelligent Emergency Braking,337.96
X761,G12U,Gloss Black grille with Satin Chrome surround,336.19
L494,043AV,Remote Park Heat with Timed Climate,333.83
X351,VPFA,CARBON FIBRE,332.45
L405,025LV,Meridian™ Digital Reference Sound System,329.79
L494,094AA,Smoker's Pack,327.72
X761,C54T,"19"" 7 split-spoke 'Style 7012'",326.49
L494,074VX,Pack 40 (P40) - ADAS Level 1 - Drive Pack,325.21
L405,041CX,Fixed Panoramic roof,324.52
L405,065AG,Adaptive Cruise Control with Queue Assist and Intelligent Emergency Braking,324.41
X761,Z05C,LUXURY PACK,320.65
X760,Z37E,LIGHTING PACK,319.12
L494,041CX,Fixed Panoramic Roof,318.26
L405,070BA,Gesture tailgate / boot lid,315.96
L494,1AU,Carpathian Grey,314.93
X760,B41P,Perforated grained leather seats,311.55
X760,Z04B,PREMIUM BUSINESS PACK,310.26
X761,Z02R,18-way electric front sport seats,309.29
X260,C53K,"20"" 5 Split-Spoke 'Style 5071'",301.32
X260,G12U,Gloss Black Grille with Satin Chrome Surround,299.84
X760,G12U,Gloss Black grille with Satin Chrome surround,297.21
X761,Z02S,18-way electric front sport seats with driver memory,293.18
L405,033SW,Semi-Aniline leather seat Style 18,289.37
X260,B73G,Adaptive Surface Response (AdSR),287.65
X260,C05C,Detachable Tow Bar,287.21
X351,Z93U,PACK 9 - R-SPORT BLACK PACK,281.61
X260,C53L,"20"" 5 Split-Spoke 'Style 5031' with Gloss Black Finish",279.66
X260,C88G,Four-zone Climate Control,275.6
X761,D90T,Adaptive LED headlights with signature DRL,274.44
X760,G12W,Gloss Black grille with Chrome surround,274.17
X351,Z03M,18 WAY STANDARD SEATS: HEATED & COOLED WITH MASSAGE FUNCTION,273.6
X260,C53H,"20"" 9 Split-Spoke 'Style 9004'",268.58
X152,Z79B,DRIVE PACK,267.06
X260,F53F,Heated and Cooled Front Seats,266.51
X761,H41F,Adaptive Cruise Control with Queue Assist,265.39
X761,A41B,Traffic Sign Recognition and Adaptive Speed Limiter,265.23
X351,Z93W,PACK 10 - XJR BLACK PACK,264.11
X260,F45C,Sliding Panoramic Roof,263.66
X152,B55C,Performance seats,258.39
X760,Z88P,WINTER PACK,257.17
X351,HNAA,IVORY HEADLINING,256.36
L405,173AB,Soft Door Close,255.56
X152,Z84M,PREMIUM LEATHER INTERIOR,252.47
X761,B28M,"Auto-dimming, power fold, heated door mirrors with memory and approach lights",252.31
X761,B41T,Perforated grained leather seats with contrast stitching,244.26
X760,H53K,18-way electric front seats,243.72
X260,F53C,Heated and Cooled Front Seats with Heated Rear Seats,241.84
L405,074VX,Pack 25 (P25) - Drive Pack,236.97
X761,H71C,Blind Spot Monitor and Reverse Traffic Detection,235.39
X760,B73G,Adaptive Surface Response (AdSR),229.15
L494,029SF,"22"" 5 split-spoke 'Style 504'",227.46
L494,032CG,Extended Leather Pack,225.39
L405,022BG,4-Zone climate control,223.71
X761,Z16X,MEMORY PACK FOR 10-WAY SEATS,222.09
X152,C52B,"20"" 6 split-spoke 'Style 6003' with Dark Grey Diamond Turned finish",221.49
L405,033DP,Winged front and rear headrests,221.16
X260,Z04A,Business Pack,219.25
X152,B80A,Carbon Fibre centre console with SVR branding,219.2
X761,C54S,"18"" 15 spoke 'Style 1022'",217.09
X152,D90R,LED headlights with signature DRL,216.55
L494,033GQ,Climate front seats with Heated rear seats,214.38
L405,086GC,Surround Camera System,213.07
X760,Z19B,POWER CONVENIENCE PACK,212.86
X760,Z88D,COLD CLIMATE PACK,212.42
X260,Z28B,Power Convenience Pack,212.27
X152,F45A,Fixed panoramic roof,212.26
X260,D90T,Adaptive LED Headlights with Signature DRL,211.77
X260,Z04B,Premium Business Pack,210.92
L494,086GC,Surround Camera System,210.38
X351,H41F,ADAPTIVE CRUISE CONTROL WITH QUEUE ASSIST,206.25
X351,F42C,SOFT DOOR CLOSE WITH DOUBLE LOCKS,205.86
X761,Z88D,COLD CLIMATE PACK,205.82
X260,G12W,Gloss Black Grille with Chrome Surround,205.43
X761,Z77J,INCONTROL CONNECT PACK,205.43
X260,B44V,Meridian™ Sound System,202.97
L405,020DS,20 inch brake calipers,201.91
X761,D07J,Electrically adjustable steering column,201.43
X761,F45A,Fixed panoramic roof,197.81
X351,Z68R,PACK 12 - PARKING ASSIST PACK,197
X152,H71C,Blind Spot Monitor and Reverse Traffic Detection,195.55
X761,Z07A,ADAPTIVE DYNAMICS PACK,194.82
L494,038ID,TFT Virtual Instrument Panel,194.8
X152,Z15W,SEAT MEMORY PACK 2,194.55
X260,C53Y,"19"" 5 Spoke 'Style 5035' with Gloss Dark Grey Diamond Turned Finish",194.41
X260,F97A,Heated Steering Wheel,191.13
X761,B44V,Meridian™ Sound System,190.6
X152,B09F,Tailgate / boot lid spoiler,190.2
X760,C52K,,189.03
X761,C05C,Detachable tow bar,188.4
X351,G61D,DIGITAL TV,184.4
L494,074QA,"Off Road Pack (P1) -SD4, TDV6, SDV6 & V6 S/C",181.94
L405,029SX,"22"" 7 spoke 'Style 706' with High Gloss Polished finish",180.9
X351,Z37H,PACK 14 - HIGHWAY PACK,179.61
X351,Z46B,PACK 7 - ILLUMINATION PACK,177.22
L494,033TB,Grained Leather Seats,173.22
X761,H52B,No loadspace storage rails,171.94
X761,Z02Q,10-way electric front seats with driver memory,169.64
L494,033SY,"Style 2 - 16 way / 16 way Powered Seats
(14 way powered with manual headrest)",168.81
L494,025LN,Meridian™ Digital Surround Sound System,163.63
X760,Z68T,ADVANCED PARKING ASSIST PACK,162.56
X152,B80F,Carbon Fibre centre console,159.88
L494,029YU,"21"" 5 split-spoke 'Style 507'",159.47
L494,029YV,"21"" 5 split spoke Style 507 with Diamond Turned Finish",156.03
L405,033SD,Oxford leather seat Style 13,153.42
L494,070BA,Gesture tailgate / boot lid,153.32
L494,033UA,Style 5 - 18 way  / 18 way Powered Seats with Memory,152.41
X260,C53Z,"19"" 7 Split-Spoke 'Style 7013' with Contrast Diamond Turned Finish",150.98
X152,B69B,Powered tailgate / boot lid,149.76
X761,H03L,Luxtec wrapped instrument panel topper,149.47
X152,1BJ,Ultra Blue,149.43
X761,C54N,"22"" 9 spoke 'Style 9006' with Chrome finish",148.21
X351,H73C,ELECTRIC REAR SIDE WINDOW BLINDS,146.21
X152,Z88K,CLIMATE PACK 1,146.05
X260,G45B,Soft Door Close,146.03
X761,Z04A,BUSINESS PACK,145.35
X260,B69B,Powered Tailgate / Boot Lid,142.45
X260,Z15Y,Memory Pack with Powerfold Mirrors,141.95
L405,129AA,Television,141.77
X260,VSAB,Gloss Burr Walnut Veneer,140.77
L405,043AV,Remote Park Heat with Timed Climate,140.41
L405,025LN,Meridian™ Digital Surround Sound System,139.08
X760,D17C,Headlight power wash,138.19
X260,VSAT,Satin Fine Line Wood Veneer,137.67
L405,033SU,Semi-Aniline leather seat Style 17,137.66
X760,D90L,Xenon headlights with LED signature,135.96
X260,VRGR,Satin Rosewood Veneer,135.83
X260,C53W,"19"" 10 Spoke 'Style 1018'",135.43
X760,C52N,"18"" 5 spoke 'Style 5030' with Diamond Turned finish",134.54
L405,064DI,Adaptive xenon headlamps,131.21
X351,D90T,FULL LED HEADLIGHTS WITH ADAPTIVE LIGHTING,130.43
L405,029SC,"20"" 5 split-spoke 'Style 502' with Shadow Chrome finish",130.13
X761,F04B,Keyless Entry,129.75
X152,C18A,Park Assist,128.98
X260,Z88D,Cold Climate Pack,126.56
X760,F04B,Keyless Entry,126.44
L405,029TN,"21"" 9 spoke 'Style 901' with Gloss Black finish",125.29
X152,C55B,"20"" 5 spoke 'Style 5060'",123.31
X351,B43U,MERIDIAN DIGITAL SURROUND SOUND SYSTEM (825W),123.2
X260,Z68T,Advanced Parking Assist Pack,122.94
X760,F53B,Heated front and rear seats,122.48
X260,C53X,"19"" 5 Spoke 'Style 5035' with Gloss Black Finish",121.54
X260,A41B,Traffic Sign Recognition and Adaptive Speed Limiter,120.69
X152,C50T,"19"" 5 split-spoke 'Style 5058' with Technical Grey Diamond Turned finish",120.47
L494,129AA,Television,119.56
X761,C40R,Full size spare wheel,118.75
X761,B28S,"Power fold, heated door mirrors with memory and approach lights",117.6
X760,Z04A,BUSINESS PACK,117.07
X260,Z68S,Parking Pack,116.54
L494,070AW,Powered single-piece tailgate / boot lid,116.05
X761,C14A,Rear View Camera,115.2
X260,Z77F,InControl Plus Pack,114.85
X260,D17C,Headlight power wash,113.61
X260,H48W,40:20:40 Split Fold Rear Seat,113.1
X152,Z15V,SEAT MEMORY PACK 1,111.53
L494,1AM,Loire Blue,111.34
X152,C14A,Rear View Camera,111.01
X152,C10R,Red brake calipers,109.19
X351,B20B,GARAGE DOOR OPENER (ROW),108.92
L494,048BD,Illuminated Aluminium front treadplates with Range Rover script,108.26
X760,A41B,Traffic Sign Recognition and Adaptive Speed Limiter,107.92
X260,1AC,Indus Silver,107.79
X761,B39N,Garage Door Opener (HomeLink®),106.67
L405,029MI,Full size spare wheel,106.24
L494,033GP,Climate Front Seats,105.7
X760,C52M,"19"" 15 spoke 'Style 1015' with Gloss Black Diamond Turned finish",105.25
X351,H03E,SOFT GRAIN LEATHER UPPER FACIA,102.43
X260,D90L,Xenon Headlights with LED Signature,102.3
X152,B66F,Aluminium gearshift paddles,101.78
L494,135AH,Loadspace Rails and Lockable Cross Beam,101.56
X761,B69B,Powered tailgate / boot lid,100.81
X152,G36M,380mm front and 376mm rear brakes,100.21
L405,066AC,Keyless Entry with Push Button Start,99.83
X260,H57A,InControl Apps,99.81
X260,C53U,"19"" 7 Split-Spoke 'Style 7012'",99.61
X760,C52P,"18"" 6 spoke 'Style 6006'",99.06
L405,064GI,Xenon headlamps (inc headlamp powerwash) with signature lighting,99.05
L494,049AL,Electrically adjustable steering column,98.64
L405,029VT,Reduced section Alloy spare wheel,98.54
X260,VPFA,Carbon Fibre Trim Finisher,98.48
X761,H57A,InControl Apps,98.22
X761,B28P,"Auto-dimming, power fold, heated door mirrors with approach lights",96.05
X351,B44V,MERIDIAN DIGITAL SOUND SYSTEM (380W),95.64
X760,Z15X,DRIVER MEMORY PACK,94.9
L405,029SK,"22"" 7 spoke 'Style 708'",94.34
X761,F53B,Heated front and rear seats,94.29
X260,B39N,Garage Door Opener (HomeLink®),94.21
X761,C54Y,"20"" 5 spoke 'Style 5035' with Gloss Black Turned finish",94.09
X260,F53B,Heated Front and Rear Seats,93.02
X260,C53V,"19"" 7 Split-Spoke 'Style 7013'",91.55
X260,B51A,Digital Audio Broadcast (DAB) Radio,91.21
X152,C40D,Reduced section alloy spare wheel,91.02
X761,Z68N,ADVANCED PARKING ASSIST PACK,90.52
X760,Z77F,INCONTROL CONNECT PACK,89.31
X760,H76G,Electric rear window sunblind,89.23
X760,G61C,Navigation,88.48
L405,029SB,"20"" 5 split-spoke 'Style 502'",87.22
L494,022BC,3-Zone climate control,87.01
X152,B43U,Meridian™ Surround Sound System,86.6
X761,H49A,Electrically reclining rear seats,85.88
L494,011CF,Pack 37(P37) - InControl Connect Pro Pack,85.79
X260,C18B,Park Assist,85.16
X761,C54X,"20"" 5 spoke 'Style 5035' with Grey Diamond Turned finish",84.81
L405,011CF,Pack 24 (P24) - InControl™ Connect Pro Pack,84.76
X260,B28P,"Auto-Dimming, Power Fold, Heated Door Mirrors with Approach Lights",84.73
X260,F53B,Heated Front and Rear Seats,84.67
L494,029YT,"20"" 5 split-spoke 'Style 520'",84.15
X761,Z02P,10-way electric front seats,84.06
X260,G61C,Navigation,83.72
X260,H76G,Electric Rear Window Sunblind,83.54
X260,F53B,Heated Front and Rear Seats,82.8
L405,048BD,Illuminated Aluminium front treadplates with Range Rover script,82.68
X260,C14A,Rear View Camera,82.27
X760,F97A,Heated steering wheel,82.19
X760,B69B,Powered tailgate / boot lid,81.86
X761,C54H,"20"" 5 split-spoke 'Style 5031' with Grey Diamond Turned finish",80.42
X260,C40D,Reduced Section Alloy Spare Wheel,80.39
X760,F52A,4-way electric lumbar adjust,79.54
L494,029SJ,Tyre Repair System,78.63
X760,B44V,Meridian™ Sound System,78.41
X260,F53B,Heated Front and Rear Seats,78.38
X761,C40Q,Reduced section steel spare wheel,78.09
X260,Z15X,Memory Pack,77.97
L405,079CJ,Shadow Walnut loadspace floor,77.7
X260,B65B,Configurable Ambient Interior Lighting,77.55
X760,C40D,Reduced section alloy spare wheel,77.49
L494,088HE,Alston Headlining,77.46
X351,C51Z,"20"" FARALLON",77.42
L405,029SF,"22"" 5 split-spoke 'Style 504'",77.16
X260,VSAX,Gloss Figured Ebony Veneer,77.02
X761,G50F,Navigation,76.31
X351,F95W,SOFT GRAIN LEATHER & WOOD STEERING WHEEL,75.95
X260,F53B,Heated Front and Rear Seats,74.88
X152,B28W,"Auto-dimming, power fold, heated door mirrors",74.18
X152,LCHH,Red fully electric convertible roof,73.89
L405,074LN,Black Design Pack,73.63
X760,H53J,10-way electric front seats,73.16
L405,503SV,SVO Premium paint palette,72.75
X760,H57A,InControl Apps,71.83
X761,VSAT,Satin Fine Line Wood veneer,71.44
X152,LLKB,Grey fully electric convertible roof,70.74
L405,036MB,360 degree Parking Aid,70.68
X260,C13A,Front Parking Aid,70.58
X260,C53T,"18"" 5 Split-Spoke 'Style 5033'",70.51
X760,C52U,"19"" 15 spoke 'Style 1015'",70.23
L405,031EB,Auto-Dimming exterior mirrors,70.23
X760,C14A,Rear View Camera,69.65
X260,F04B,Keyless Entry,69.1
X760,Z68S,PARKING PACK,68.46
L494,088HB,Shadow Zebrano veneer,68.21
X351,B28M,"AUTO DIMMING, POWER-FOLD & HEATED EXTERIOR MIRRORS WITH ELECTRIC ADJUSTMENT, PUDDLE LAMPS & MEMORY FUNCTION",68.17
